id,date,text,word_count,char_count,avg_word_length,length_cluster,length_cluster_label,length_cluster_center_words
145055,2026-03-29T15:59:32+00:00," 
 
 
Jujur, nulis ini lebih susah dari yang aku kira. Soalnya aku sadar, setelah semua yang kita lewatin bareng, ternyata kita sampai juga di bagian yang namanya perpisahan.

Rasanya aneh. Dulu kita ketemu hampir setiap hari, ketawa bareng, cerita hal-hal nggak penting, saling nyebelin, saling bantu, saling dengerin cerita. Hal-hal yang dulu terasa biasa aja, sekarang malah jadi hal yang paling bakal dirinduin.

Aku sedih, bukan karena kita berpisah. Tapi karena aku tahu, setelah ini semuanya nggak akan sama lagi. Nggak akan ada momen spontan kumpul, nggak akan ada cerita random di waktu yang nggak tepat, nggak akan ada ketawa bareng cuma gara-gara hal sepele. Kita bakal sibuk sama hidup masing-masing, sama tujuan masing-masing, sama jalan kita masing-masing.

Tapi dari semua yang berubah nanti, aku harap satu hal nggak berubah — kita. Aku harap kita masih saling ingat, masih saling sapa kalau ketemu, masih bisa ketawa bareng walaupun udah lama nggak ketemu. Jangan sampai waktu bikin kita jadi orang asing lagi.

Makasih ya, buat semua kenangan, semua cerita, semua tawa, semua kebersamaan yang mungkin nggak bisa aku tulis satu per satu. Kalian bukan cuma teman, kalian bagian dari cerita hidup yang nggak akan aku lupain.

Kalau nanti suatu hari kita ketemu lagi, aku harap kita ketemu sebagai orang yang sudah berhasil melewati banyak hal, yang sudah sampai di tujuan yang dulu sering kita ceritain.

Dan kalau nanti kita saling kangen, ingat aja…
Kita pernah ada di satu cerita yang sama,
pernah tertawa di waktu yang sama,
dan pernah jadi bagian penting di hidup satu sama lain.

Perpisahan ini bukan akhir,
cuma jeda supaya kita bisa melanjutkan cerita kita masing-masing.

Sampai ketemu lagi, entah kapan, entah di mana. 

Aneh ya, dulu kita ketemu tanpa sengaja, ngobrol biasa aja, ketawa hal-hal yang nggak penting, tapi sekarang malah harus nulis kata perpisahan yang bahkan aku sendiri nggak pernah siap buat nulis ini.

Jujur, aku nggak tau harus mulai dari mana. Soalnya kalau disuruh cerita tentang kalian, kebanyakan kenangnya, kebanyakan ceritanya, kebanyakan hal yang kalau diingat malah bikin senyum sendiri. Dari yang awalnya cuma saling kenal, jadi sering bareng, jadi sering cerita, jadi sering ketawa, sampai akhirnya sekarang harus jalan masing-masing.

Makasih ya, serius, makasih banget buat semua hal yang pernah kita lewatin bareng. Makasih buat tawa, makasih buat cerita, makasih buat bantuan, makasih buat kenangan yang bahkan hal kecil pun sekarang jadi berharga. Kalian mungkin ngerasa itu hal biasa, tapi buat aku itu nggak biasa.

Kalau nanti kita jarang ketemu, jarang ngobrol, atau bahkan sibuk sama hidup masing-masing, aku harap satu hal: jangan sampai kita jadi orang asing yang cuma saling kenal nama. Soalnya kita pernah sedeket itu, pernah secerita itu, dan pernah sebahagia itu bareng.

Semoga kalian sukses dengan jalan kalian masing-masing. Semoga semua yang kalian perjuangin tercapai. Semoga nanti kalau kita ketemu lagi, kita udah jadi versi terbaik dari diri kita yang sekarang lagi sama-sama berjuang.

Dan kalau suatu hari nanti kita kumpul lagi, semoga yang kita ceritain bukan lagi tentang capeknya hidup, tapi tentang gimana kita berhasil lewatin semuanya.

Terakhir, ingat ya…
Kita mungkin berpisah tempat, berpisah kesibukan, berpisah jalan,
tapi semoga kita nggak pernah berpisah sebagai kenangan.

Sampai ketemu lagi di cerita hebat kita masing-masing.",537,3402,5.153,4,sangat_panjang,387.857
144961,2026-03-27T16:43:51+00:00," 
 
 
@sisisi lili:Furab thật sự là một couple có vibe rất nhẹ nhàng nhưng lại sâu sắc vô cùng, kiểu mỗi tương tác giữa Fuji và Reza Arap đều có những ý nghĩa nhỏ mà nếu để ý kỹ thì tim sẽ tan chảy ngay 💜💜💜💜💜💜💜💜💜💜💜 họ không phải kiểu lúc nào cũng thể hiện mọi thứ một cách rõ ràng, nhưng chính từ những điều đơn giản đó lại cảm nhận rất rõ rằng họ thật sự “kết nối” với nhau—từ cách họ trò chuyện, những phản ứng nhỏ tưởng chừng bình thường nhưng lại đầy sự quan tâm, cho đến những khoảnh khắc im lặng bên nhau mà không hề gượng gạo, ngược lại còn rất thoải mái 💜💜💜💜💜💜 như kiểu “tôi hiểu bạn mà không cần bạn phải nói quá nhiều” và điều đó thực sự rất hiếm, nên càng làm cho couple này trở nên đặc biệt 💜💜💜💜💜
Điều khiến Furab càng trở nên bền chặt là vibe của họ rất yên bình, không toxic, không ép buộc, nhưng vẫn ấm áp—giống như hai người từ từ bù đắp cho nhau mà không đánh mất chính mình 💜💜💜💜 họ có thể trở thành “nơi để quay về” của nhau, nơi để chia sẻ, nơi để nghỉ ngơi khỏi thế giới phức tạp, và điều đó làm cho mối quan hệ của họ trở nên vô cùng chân thành 💜💜💜💜 đặc biệt là khi tưởng tượng họ ở bên nhau trong những khoảnh khắc giản dị—có thể là trò chuyện vu vơ, cười khẽ, hay thậm chí chỉ ngồi cạnh nhau mà không cần nói nhiều—như vậy thôi cũng đủ để thấy rằng sự bên nhau của họ rất ý nghĩa 💜💜💜💜💜💜
Và thật lòng mà nói, Furab là kiểu ship mà càng lâu càng thấy “trời ơi, họ hợp nhau thật đấy” 💜💜💜 không phải kiểu bùng nổ ngay từ đầu, mà là kiểu từ từ len vào tim rồi bất ngờ trở thành yêu thích lúc nào không hay 💜💜💜💜💜💜 có sự thoải mái, có cảm giác an toàn, và một chút ngọt ngào vừa đủ để mỗi lần nghĩ đến là lại mỉm cười 💜💜💜 nói chung Furab giống như một câu chuyện 💜 không cần drama lớn để trở nên đẹp, vì vẻ đẹp của họ nằm ở sự bình yên và chiều sâu trong mối quan hệ 💜💜💜
#FURABFOREVER💜💜",390,1796,3.364,4,sangat_panjang,387.857
143825,2026-02-22T04:37:58+00:00," 
 
 
Jujur ya, ini salah satu lagu yang bikin gue berhenti scroll dan beneran dengerin sampe abis. Dari awal masuk aja udah kerasa kalau ini bukan karya yang asal jadi. Ada rasa, ada arah, dan ada identitas yang jelas. Lagu ini tuh bukan cuma enak di telinga, tapi juga punya karakter. Semakin didengerin, semakin keliatan kalau tiap bagiannya dipikirin dengan serius.
Yang paling kerasa itu adalah atmosfernya. Lagu ini punya suasana yang kuat dan konsisten dari awal sampe akhir. Nada, aransemen, sama alurnya saling ngedukung, jadi bukan cuma kumpulan bunyi tapi satu kesatuan cerita. Ini tipe lagu yang bikin pendengar kebawa, entah lagi santai, lagi mikir, atau lagi diem sendirian. Feel-nya dapet dan itu bukan hal yang gampang dibuat.
Kelihatan banget kalau proses kreatifnya matang. Dari pemilihan nada, ritme, sampai cara lagunya dibangun, semuanya terasa punya tujuan. Ga ada bagian yang terasa mubazir atau asal numpang lewat. Ini nunjukin kalau lu beneran paham apa yang lu bikin dan tau mau dibawa ke mana musik lu. Banyak orang bikin lagu, tapi ga semuanya punya kejelasan visi, dan di lagu ini itu keliatan jelas.
Yang bikin tambah salut, lagu ini ga kerasa maksa buat ngikutin tren. Justru terasa jujur dan apa adanya, seolah lu bikin musik karena memang mau berkarya, bukan sekadar pengen viral. Dan ironisnya, justru karya yang jujur kayak gini biasanya yang paling gampang nyampe ke banyak orang. Identitasnya kuat, dan itu nilai yang mahal di dunia musik.
Kalau didengerin tanpa tau siapa yang bikin, ini udah layak dibilang sebagai karya yang profesional. Bukan cuma layak dipamerin, tapi layak diapresiasi lebih jauh. Gue beneran ngerasa bangga bisa ngeliat temen sendiri berkembang sejauh ini. Ini bukan titik akhir, tapi jelas langkah besar.
Terus jalanin, terus bikin, dan jangan ragu sama kemampuan sendiri. Musik kayak gini pantas buat didenger lebih luas dan gue yakin ini baru permulaan dari hal-hal yang lebih besar ke depannya.",313,1953,5.08,4,sangat_panjang,387.857
143112,2026-02-08T04:45:32+00:00,"#πππ 
 
 
Ges, mau crita 2 tahun kebelakang ini aku udah dpt 3 kali undangan nikah (nikahan tmen² cwe ku, bukan temen sih tapi ya kenal lah) fyi, aku ini kelas 11. Pertama itu dia berenti sekolah dan milih nikah sama cwo nya, bukan karena hamidun atau apa tapi katanya karena pacar nya ini kebelet nikah dan itu waktu aku kelas 9 SMP. Cwo nya dia itu udah umur 20 ke atas. Kedua, ini aku di undang jg tpi cwe nya ini tmen sekelas ku pas smp, dia nikah sama cwo yg lebih tua juga, katanya di jodohin. Yg ketiga tmen sekelas ku di SMK dia emg cwe bandel gtu, pergaulan bebas, pernah kena kasus hamidun trus kabarnya di gugurin, main judi juga. Dan kemarin Desember dia nikah sama pacarnya yg kesekian, ngundang sekelas. Cwo nya ini tuh lagi² udah tua 20 tahun ke atas, alesan nikah nya si gatau kenapa, ini pernikahan ke2 dia btw, pernikahan pertama setelah viral kasus nya trus abis sah lngsung cerai. Trus masi ada lagi 1 angkatan beda jurusan, belum lama mualaf tapi masih bebas pergaulan nya trus katanya dia ini di jebak sampe hamil, sekarang udah nikah punya anak, anak nya lucu sih. Ada juga seangkatan pas SMP cuma beda kelas, pas lulus SMP dia nikah sama cwo yg baru lulus SMK. Sekarang udah punya anak, anak nya juga lucu. Dan ada gosip klo katanya dia ini mau ""begituan"" Sama suaminya tpi suaminya nolak mulu trus cwe ini bilang ""apa gua anuin anak gua ya"" Istighfar si pas denger, semoga ga bener dan ga pernah kejadian, kasian anaknya. Ada lagi nih baru, hari ini dia nikah. Kaka kelas ku, dia berenti sekolah karena apa gtu, gatau ga deket cuma saling sv WA. Dia nikah sama pacar nya yg udah tua. Jujur kasian kalo alesan nya karena di jodohin (paksa) tpi klo emg cuma karena nafsu apa mreka ga mikirin dampak nya ya? Mereka masih di bawah umur dan suaminya udah tua. Nikah tu sakral, harus siap banyak hal, ga cuma asal bilang nikah trus langsung nikah. Btw bisa di sebut pdf juga ga ges cwo nya?",352,1904,4.261,4,sangat_panjang,387.857
142450,2026-01-22T01:07:02+00:00," 
 
 
Berikut adalah beberapa pilihan jawaban dalam bahasa Inggris yang mengekspresikan rasa kaget (shock) tapi sekaligus senang/bahagia, dibagi berdasarkan nuansanya:

1. Kaget dan langsung membalas perasaannya (Reciprocal)
Ini cocok jika kamu juga menyukainya dan kaget karena dia mengatakannya duluan.
*   ""Wait, really? Because I’m totally in love with you too!""
    *(Tunggu, serius? Karena aku juga benar-benar cinta sama kamu!)*
*   ""Oh my god, are you serious? I felt the same way but I was scared to say it!""
    *(Ya ampun, kamu serius? Aku juga merasa begitu tapi aku takut ngomong duluan!)*

2. Kaget dan terharu (Emotional & Touched)
Ini cocok jika kamu sudah lama menunggu momen ini.
*   ""You have no idea how long I’ve wanted to hear you say that.""
    *(Kamu enggak tahu sudah berapa lama aku ingin dengar kamu ngomong itu.)*
*   ""Wow... is this real? This is the best thing I've heard in a long time.""
    *(Wow... ini nyata? Ini hal terindah yang aku dengar setelah sekian lama.)*

3. Kaget sampai tidak bisa berkata-kata (Speechless & Happy)
Ini jika kamu saking kaget dan senangnya sampai bingung mau ngomong apa.
*   ""Oh my god... I don't even know what to say. I'm just so happy right now.""
    *(Ya ampun... aku bahkan gak tahu harus ngomong apa. Aku senang banget sekarang.)*
*   ""Wow. Just... wow. I’m so happy.""
    *(Wow. Cuma... wow. Aku senang banget.)*

4. Kaget yang lucu/imut (Cute & Playful)
*   ""Are you kidding me? Don't joke with me, because I might just say it back!""
    *(Kamu bercanda ya? Jangan main-main lho, soalnya aku bisa aja balas bilang cinta juga!)*
*   ""Oh my god! Pinch me, I must be dreaming.""
    *(Ya ampun! Cubit aku dong, aku pasti lagi mimpi nih.)*

Tips Pengucapan:
Pastikan intonasi kamu naik (excited) dan wajah kamu tersenyum lebar. Kata kunci seperti ""Really?"", ""Oh my god"", atau ""Wait"" harus diucapkan dengan nada tinggi/antusias untuk menunjukkan rasa kaget yang positif.",315,1876,4.448,4,sangat_panjang,387.857
142117,2026-01-11T02:07:31+00:00," 
 
 
Berikan penyusunan yang lebih padu dan memudahkan pembaca untuk memahami pesan ini:

Bagai hidup dalam penjara, terkurung dengan rantai yang terpasang. 
Kita terjebak di tempat yang sama dan terhambat. 
Mengejar impian di tengah padang yang kering, 
Dan kami bahkan tak berani bermimpi, 
Karena selalu tertampar oleh realita. 
Cicilan dan tagihan menambah beban pikiran, 
Bagaimana cara bertahan hidup di hari ini?

Janji manis yang dijual di televisi, 
Namun mereka tidak peduli dengan keadaan kami. 
Semua sibuk mencari keuntungan, 
Sementara kebijakan menjadi ladang bagi para politisi. 
Kami protes bukan karena tak bersyukur, 
Tapi karena kejahatan ini sudah terstruktur. 
Mereka membeli senjata dan memukul mundur kami, 
Sementara saudara kami bersyukur hanya dapat makanan.

Mereka berbisik dan mengubah aturan, 
Sambil menutup mata pada kejanggalan ini. 
Kami teriak hingga air mata jatuh, 
Tapi mereka merespons dengan gas air mata. 
Senjata tidak akan pernah membungkam suara, 
Yang terus menggema di udara, menyentuh hati, 
Mengobarkan semangat, membakar api selama-lamanya. 
Suara itu akan selalu ada, 

Temukan jiwamu, jangan biarkan padam, 
Suara itu akan terus bertambah. 
Mereka menyebarkan propaganda dan teror media, 
Berusaha memecah belah suara lewat buzzer sosial media. 
Kejahatan meningkat di tengah ketidakpastian kerja, 
Tekanan yang menguatkan rasa putus asa. 

Cukuplah, kami sudah muak, 
Begitu banyak kasus penting yang terabaikan. 
Kami berjuang mencari kehidupan, sementara mereka saling suap, 
Kami tak bisa menahan sesak di dada. 
Alam kami sedang dijarah, dan kemarahan pun membara, 
Namun kalian malah mengirimkan tentara, 
Memecah belah saudara, kami semakin menderita.

Tanah subur ini dipenuhi darah, 
Hancur oleh situasi ekonomi. 
Kami berteriak meminta pertolongan, tapi kalian tak menoleh. 
Kami tak ingin diam, kami melawan karena percaya pada suara. 
Setiap Kamis, suara kami selalu terdengar, 
Kami terbangun dan membuka mata berkat suara ini. 
Kami hidup karena suara, takkan pernah hilang, 
Karena kami adalah suara itu.

Senjata tidak dapat membunuh suara, 
Senjata takkan pernah bisa membunuh suara. 
Jika semua ini hanya tentang mereka, 
Apa kabar dengan kami? 
Seberapa nyaman pun hidup mereka di atas sana, 
Apa yang akan terjadi pada kami? 
Siapa yang akan berjuang untuk kami? 
Suara kami adalah harapan terakhir kami.",338,2317,5.666,4,sangat_panjang,387.857
141391,2025-12-17T12:25:06+00:00," 
 
 
guys ak butuh saran, gimana carany ngadepin seorang cwo yg susah diajk buat nyelesaiin masalah?, stiap ak tanya ""kmu psti udh bosen,males,udh gamau ngurusin masalahny, gamau lurusin masalahny"" tp dia jwbny ""ga ngrasain smua"" dlm artian dia ga ngrasa bosen mls ataupun semacamnya, pdhl ak tau jelas' org itu boong dia sndri pun blg klo pgn hub yg lama hub yg aman' aja damai dll tpi diri dia sndri gbsa dibenerin malah mkin nyalahin org lain ngrasa emg diri dia sesalah itu klo lakuin hal' yg shrusny dia ubah tpi Dimata dia sndri dia salah pdhl yg ak liat emg dia ga ad brusaha aja:( salah emg ad tpj setidakny klo pgn ngerasain sesuatu yg dia pgn dihub ini hrsny ad usaha gasii? Tp ini malah slalu bkin diri sndri jd mundur buat nunjukin keiingan dia dihub tersebut dgn cara bkin diri dia salah dan gagal dlm usahany pdhl ak udh blg jd diri sndri dan pelan' lakuin sebisa dia ak udh hargain keputusan dia kok, tp disaat ak ngrasa dia ga a usahanya dan ak blg ke dia dan dia jwb ""kamu ga liat ternyata usaha ku ya?"" Klo ak ga ngrasa sesakit itu ga ngrasa kesepian  ngrasa smpe bnr' ga ad dibagian jdi pasanganny alhasil kan ga ad usaha? Krna ak tau dan bisa bedain mana yg usaha sm bukan..🥹🥹

huhu sedihh what should I do?? klo dilepasin ak tkut nyesell krna keputusan ak jg blm bulet, ak tau ini udh hub toxic tp ak mau benerin selagi aku mau,ak bisa dan ad tujuan dari memperbaiki masalah tersebut. Gimana carany biar aku bisa cuek dan ga terlalu mikirin ya? Layakny dia yg cuek dan sesantai itu sm hub yg toxic dan masalah' yg blm kelar dan bkin diri kita itu bener' mkin ngrasa jauh dan ngrasa pelan' gjdi  pasangan lgi.. jujur aj ak gamau smpe seniat ini buat beresin smuany satu' dan turutin kemauan org itu tapi ak jg mau buktiin klo ak bisa bertahan tpi yg ak dpt malah sebalikny 
:( cape ternyata jdi org yg terlalu niat buat mastiin hubny itu tetep baik' aj bgtupun orgny gmn sifat/perlakuan dia ke kita tpi org itu gbsa menghargai dan ga ad rasa bersyukur punya kita ternyata ya? Inisiatif aja berat bgt rasanya sedih:(( cape jg trs ngalah dlm bnyk hal aplgi soal cwe 🥹🥹, I need some advice from you guys huhu maaff jdi curhat trimakasiii udh baca smpe bawah🫰",404,2166,4.24,4,sangat_panjang,387.857
141113,2025-12-06T04:19:20+00:00," 
 
 
(Mesin waktu berdengung. Siswa-siswi terjatuh di sebuah kota besar yang tampak megah. Gedung pencakar langit menjulang, jalan penuh mobil terbang, namun di sisi lain, lorong-lorong sempit dipenuhi rakyat miskin yang kelaparan.)
Aru:(terpana)Lihat… gedungnya tinggi sekali, tapi kenapa banyak orang tidur di jalan?
Widya:(melihat seorang anak kecil mengemis)Seperti ada dua dunia yang berbeda: dunia orang kaya, dan dunia orang miskin.
(Tiba-tiba muncul Robot Pemandu, hologram AI pemerintah.)
Robot Pemandu:Selamat datang di Republik Nusantara, tahun 2080. Negara ini kaya raya, namun sebagian besar kekayaan hanya dikuasai segelintir orang.
Aru:(kesal)Jadi kemerdekaan yang diperjuangkan para pahlawan dulu… hanya dinikmati oleh sedikit orang?
(Mesin membawa mereka ke gedung parlemen. Di dalamnya, layar besar menampilkan debat sengit para politisi. Mereka saling tuduh, berteriak, bahkan ada yang tertidur di kursinya. Rakyat di luar gedung berdemo, membawa spanduk bertuliskan “KEADILAN SOSIAL!”)
Widya:(terdiam)Bukankah dulu Sutan Sjahrir menginginkan demokrasi yang matang? Kenapa malah jadi begini?
Robot Pemandu:Karena banyak pemimpin melupakan rakyat. Politik berubah jadi ajang rebutan kekuasaan, bukan lagi alat untuk menyejahterakan bangsa.
Aru:(kesal)Kalau begini, negara bisa pecah lagi.(Di luar gedung, suara kericuhan makin keras. Polisi menghadang demonstran. Beberapa rakyat berteriak, “Kami lapar! Kami butuh keadilan, bukan janji kosong!”)
(Mesin waktu membawa mereka ke sebuah pasar. Di sana, teknologi canggih dipakai untuk jual beli: semua dengan mata uang digital. Namun harga-harga melambung tinggi, dan rakyat kecil tidak mampu membeli makanan.)
Widya:(terkejut)Harga nasi satu mangkuk setara dengan gaji seminggu?
Penjual Tua:(berkata lemah)Anak-anak muda, begitulah jika ekonomi dikuasai monopoli. Yang kaya makin kaya, yang miskin makin tenggelam.
Aru:(berbisik)Bukankah dulu Gus Dur mengajarkan keadilan dan kesetaraan? Kenapa semua hilang?
Penjual Tua:Karena generasi kalian di masa lalu mungkin lupa menjaga pesan itu.
(Aru dan widya saling menatap. Mereka sadar pesan ini bukan sekadar simulasi, tapi peringatan.)
(Mesin waktu memperlihatkan sebuah ruangan kecil. Sekelompok anak muda sedang berdiskusi, menulis visi baru untuk bangsa. Mereka mirip para pemuda tahun 1928 atau 1945—penuh idealisme. Siswa-siswi merasa seperti bercermin pada diri mereka sendiri.)
Kami tak ingin bangsa ini hancur. Kami harus menulis sejarah baru—politik yang bersih, ekonomi yang adil, dan persatuan rakyat.
Widya:(meneteskan air mata)Itu tugas kami juga… di masa sekarang. Agar kalian tidak lagi menderita.
Aru:(bersemangat)Kita harus kembali, kita harus belajar dari masa lalu dan memperbaiki masa kini, supaya masa depan tak jadi seperti ini!
(Mesin berbunyi keras. Cahaya biru menyelimuti siswa-siswi. Mereka ditarik kembali ke kelas.)
(Lampu normal. Bu Ratna berdiri di depan kelas, melihat murid-muridnya yang tampak jauh lebih serius daripada sebelumnya.)
Bu Ratna:Anak-anak, kalian sudah melihat masa depan politik dan ekonomi bangsa. Apa yang kalian pelajari?
Widya:Bahwa kemerdekaan tanpa keadilan sosial hanya akan melahirkan kesenjangan.
Aru:Dan politik tanpa kejujuran hanya akan melahirkan perebutan kekuasaan, bukan kesejahteraan.
Bu Ratna:(tegas, lembut)Ingatlah: sejarah bukan hanya milik masa lalu. Sejarah juga ditulis di masa depan—oleh kalian semua.(Siswa-siswi berdiri, menatap ke depan dengan penuh tekad.)
Siswa-siswi (bersama):Kami siap menulis sejarah yang adil dan beradab!


Gess menurut kalian bagus gaa cerpen nya",517,3557,5.634,4,sangat_panjang,387.857
140575,2025-11-17T20:03:07+00:00," 
 
 
Mau cerita tentang pengalaman pertama melamar kerja melalui yayasan dan aku lamar untuk jadi security wanita karena aku pernah ikut gada Pratama jadi aku mau ngelamar jadi satpam perempuan dan cerita ini gak pernah aku kasih tau ke ibu dan bapak aku karena aku takut mereka akan merasa bersalah 

Jadi sebelum nya aku pernah ngelamar di salah satu yayasan di Daan Mogot dan jujur itu pengalaman buruk aku selama aku interview sama HRD mau itu perempuan ataupun laki-laki gak kayak gini (bukan dari yayasan)

Awalnya aku tuh lupa masukin fotokopi kartu keluarga terus dia nanya ""ada fotonya gak di hp"" aku jawab ada terus aku kasih scanan nya nah langsung tuh dia nanya pengalaman karena pengalaman pertama aku ya kerja di hotel, toko retail, barista nah terus dia nanya tentang hal pribadi kayak tentang hubungan keluarga sama aku yaudah aku jawab....
Singkat cerita dia nanya pekerjaan orang tua aku ya aku jawab ""ibu saya ibu rumah tangga, bapak saya gardener di perumahan di Bekasi"" dan kalian tau gak reaksinya dia? Dia malah ngetawain terus nepok-nepok HRD juga sebelah nya sambil ketawa bilang ""tukang sapu"" gw disitu sedikit kaget dan cuma diem aja dan si HRD yang dia tepok juga kayak gak nyaman gitu.

dan kalian tau gak reaksi dia pas liat liat pendidikan terakhir bapak sama Abang aku yang cuma SMP di kartu keluarga? dia langsung kayak ngeremehin banget aku seperti awal ketawa-ketawa gitu malah dia kayak gitu didepan banyak orang-orang yang mau interview.

Dan disitu aku ternyata pas ukur tinggi badan beda 1 cm karena waktu aku ambil gp aku diukur tinggi aku 160 tapi disitu 159 terus aku diginiin sama orang itu ""kamu jadi gardener aja ya kayak bapak kamu? Atau mau jadi cleaning service aja? Karena kita nyari yang tinggi-tinggi"" kek...Wow so there are people like this 

Jujur pulang dari sana aku nangis di kereta sampe-sampe satpam KAI nanya ""mbak gak apa-apa?"" Sumpah sakit banget dan akhirnya aku trauma buat ngelamar jadi satpam dan gp aku tersia-siakan gara-gara manusia itu dan sekarang aku lebih milih kerja di PT kecil walaupun gaji di bawah UMR setidaknya aku pas interview tidak di rendahkan

Ternyata orang yang berilmu belum tentu dia baik ya? Dia bilang dia pernah jadi psikolog di camp tentaralah, lulusan terbaik universitas G lah, dia juga bilang gak menerima suap padahal ya...biar dia dan Allah yang tau.

Demi Allah sakit banget tapi aku cuma bisa doain dia yang baik-baik aja semoga Anak dia mau laki-laki ataupun perempuan gak akan ngerasain apa yang aku rasain

Itu aja sih yang mau aki ceritain",437,2527,4.707,4,sangat_panjang,387.857
140116,2025-10-31T02:55:45+00:00,"#imouto 
 
 
hlo bang lex
mon maaf nih konpes disini, bisa gaa keluar dri saluran aku yg baru? Soalnya emng aku pengennya ga usah ada yg masuk, soalnya ak lagi belajar mendengar kan cerita sendiri, aku g mau ngerasa lagi didengarkan org lain, krna emng aku lgi ngelepasin perasaan pgn didengarkan, dlu waktu sblm kenal bang lex, aku udh melekat mandiri soal cerita, yaa kau juga taulah aku suka cerita2 sendiri di chanel, sampe kau tb2 masuk
makin lama kau resp crita2 w waktu itu, jdi mkin ilang rasa mandirinya
dan yaa smpailah waktu dmna terasa mengagumi u, tpi ya aplg daya mungkin perasaan waktu itu hanya sebatas terbatas dan tak ada jalan untuk lebih dari itu
Yg kemudian bulan demi bulannya, w selalu belajar buat lupain u, krna w berat buat ngejalanin hri dgn perasaan2 itu, rasanya tidak bebas dan selalu tersirat teringat, ya,, lumayan lelah berjuang untuk lepas,, dan disaat semuanya hampir lepas,, malah ada yg mencoba mendobrak pintu my heart, intinya w pgn kau jdi org yg tau capenya guehhh😭, yg awalnya w udh kuat berjuang mandiri, nah malah ngerasa punya rumah untuk didengarkan, trus tb2 hrus menghadapi perasaan baru, trus tb2 hrus melepaskan perasaan itu, trus tb2 lagi ada yg berurusan sama kehidupan aku ggra dia berusaha mendobrak hati aku, yah intinya cpe bett kena tarik ulur gini, dan skrg aku udh milih lagi buat lepas dri semua itu lgi, dan mencari pertahanan diri.. 
maaf ya itung2 curhat anon k u
makasih klo udh baca, rasanya tenang klo ada yg tau 1 ajaa seberapa cpe nya w
meski disisi2 itu masih ada permasalahan keluarga, u know lah.. 
aslinya w g enak nge anon gni, tlong ya ur gf jgn dikasi tau soal ini, krna yah kasian kaka itu, meski dia phm juga
krna ya ini juga cuma pesan penutup, bkn memanjang interaksi
bahagia trus ya.. inget2 kata dri aku waktu itu.. jaga ur gf ocehh
My relationship with my bf is not going well
see u, thanks 

@Alexandther",331,1878,4.532,4,sangat_panjang,387.857
